"","Species","SpeciesID","Week","Weight_g","Porometer","PercentBrown","Dead"
"1404","PIED","PIED32","7.5",NA,NA,25,"alive"
"1405","PIED","PIED32","8.0",436,50.5,25,"alive"
"1406","PIED","PIED32","8.5",NA,NA,25,"alive"
"1407","PIED","PIED32","9.0",427,46.4,25,"alive"
"1408","PIED","PIED32","9.5",NA,NA,NA,"alive"
"1409","PIED","PIED33","1.0",723,219.5,10,"alive"
"1410","PIED","PIED33","1.5",NA,NA,10,"alive"
"1411","PIED","PIED33","10.0",405,61,10,"alive"
"1412","PIED","PIED33","10.5",NA,NA,10,"alive"
"1413","PIED","PIED33","11.0",399,85.5,25,"alive"
"1414","PIED","PIED33","11.5",NA,NA,25,"alive"
"1415","PIED","PIED33","12.0",393,77.6,25,"alive"
"1416","PIED","PIED33","12.5",NA,NA,50,"alive"
"1417","PIED","PIED33","13.0",388,56.1,50,"alive"
"1418","PIED","PIED33","13.5",NA,NA,50,"alive"
"1419","PIED","PIED33","14.0",385,72,75,"alive"
"1420","PIED","PIED33","14.5",NA,NA,75,"dead"
"1421","PIED","PIED33","15.0",384,93.1,75,"dead"
"1422","PIED","PIED33","15.5",NA,NA,75,"dead"
"1423","PIED","PIED33","16.0",382,70.1,75,"dead"
"1424","PIED","PIED33","16.5",NA,NA,75,"dead"
"1425","PIED","PIED33","17.0",382,100,90,"dead"
"1426","PIED","PIED33","17.5",NA,NA,NA,"dead"
"1427","PIED","PIED33","18.0",NA,NA,NA,"dead"
"1428","PIED","PIED33","18.5",NA,NA,NA,"dead"
"1429","PIED","PIED33","19.0",NA,NA,NA,"dead"
"1430","PIED","PIED33","19.5",NA,NA,NA,"dead"
"1431","PIED","PIED33","2.0",656,218.9,10,"alive"
"1432","PIED","PIED33","2.5",NA,NA,10,"alive"
"1433","PIED","PIED33","20.0",NA,NA,NA,"dead"
"1434","PIED","PIED33","20.5",NA,NA,NA,"dead"
"1435","PIED","PIED33","21.0",NA,NA,NA,"dead"
"1436","PIED","PIED33","21.5",NA,NA,NA,"dead"
"1437","PIED","PIED33","22.0",NA,NA,NA,"dead"
"1438","PIED","PIED33","22.5",NA,NA,NA,"dead"
"1439","PIED","PIED33","3.0",572,227.3,10,"alive"
"1440","PIED","PIED33","3.5",NA,NA,10,"alive"
"1441","PIED","PIED33","4.0",499,211.2,10,"alive"
"1442","PIED","PIED33","4.5",NA,NA,10,"alive"
"1443","PIED","PIED33","5.0",468,80,10,"alive"
"1444","PIED","PIED33","5.5",NA,NA,10,"alive"
"1445","PIED","PIED33","6.0",455,90.7,10,"alive"
"1446","PIED","PIED33","6.5",NA,NA,10,"alive"
"1447","PIED","PIED33","7.0",444,78.1,10,"alive"
"1448","PIED","PIED33","7.5",NA,NA,10,"alive"
"1449","PIED","PIED33","8.0",419,52.4,10,"alive"
"1450","PIED","PIED33","8.5",NA,NA,10,"alive"
"1451","PIED","PIED33","9.0",413,64.3,10,"alive"
"1452","PIED","PIED33","9.5",NA,NA,NA,"alive"
"1453","PIED","PIED34","1.0",691,96.4,10,"alive"
"1454","PIED","PIED34","1.5",NA,NA,10,"alive"
"1455","PIED","PIED34","10.0",335,47.6,10,"alive"
"1456","PIED","PIED34","10.5",NA,NA,10,"alive"
"1457","PIED","PIED34","11.0",330,56.9,10,"alive"
"1458","PIED","PIED34","11.5",NA,NA,25,"alive"
"1459","PIED","PIED34","12.0",328,67.3,25,"alive"
"1460","PIED","PIED34","12.5",NA,NA,25,"alive"
"1461","PIED","PIED34","13.0",326,53.6,25,"alive"
"1462","PIED","PIED34","13.5",NA,NA,50,"dead"
"1463","PIED","PIED34","14.0",324,57.8,75,"dead"
"1464","PIED","PIED34","14.5",NA,NA,75,"dead"
"1465","PIED","PIED34","15.0",324,67.3,90,"dead"
"1466","PIED","PIED34","15.5",NA,NA,90,"dead"
"1467","PIED","PIED34","16.0",322,62.7,90,"dead"
"1468","PIED","PIED34","16.5",NA,NA,NA,"dead"
"1469","PIED","PIED34","17.0",NA,NA,NA,"dead"
"1470","PIED","PIED34","17.5",NA,NA,NA,"dead"
"1471","PIED","PIED34","18.0",NA,NA,NA,"dead"
"1472","PIED","PIED34","18.5",NA,NA,NA,"dead"
"1473","PIED","PIED34","19.0",NA,NA,NA,"dead"
"1474","PIED","PIED34","19.5",NA,NA,NA,"dead"
"1475","PIED","PIED34","2.0",653,106.4,10,"alive"
"1476","PIED","PIED34","2.5",NA,NA,10,"alive"
"1477","PIED","PIED34","20.0",NA,NA,NA,"dead"
"1478","PIED","PIED34","20.5",NA,NA,NA,"dead"
"1479","PIED","PIED34","21.0",NA,NA,NA,"dead"
"1480","PIED","PIED34","21.5",NA,NA,NA,"dead"
"1481","PIED","PIED34","22.0",NA,NA,NA,"dead"
"1482","PIED","PIED34","22.5",NA,NA,NA,"dead"
"1483","PIED","PIED34","3.0",620,134.6,10,"alive"
"1484","PIED","PIED34","3.5",NA,NA,10,"alive"
"1485","PIED","PIED34","4.0",572,189.8,10,"alive"
"1486","PIED","PIED34","4.5",NA,NA,10,"alive"
"1487","PIED","PIED34","5.0",502,100.5,10,"alive"
"1488","PIED","PIED34","5.5",NA,NA,10,"alive"
"1489","PIED","PIED34","6.0",455,72.7,10,"alive"
"1490","PIED","PIED34","6.5",NA,NA,25,"alive"
"1491","PIED","PIED34","7.0",405,108.6,10,"alive"
"1492","PIED","PIED34","7.5",NA,NA,10,"alive"
"1493","PIED","PIED34","8.0",369,69.8,10,"alive"
"1494","PIED","PIED34","8.5",NA,NA,10,"alive"
"1495","PIED","PIED34","9.0",350,41,10,"alive"
"1496","PIED","PIED34","9.5",NA,NA,NA,"alive"
"1497","PIED","PIED35","1.0",656,189.2,10,"alive"
"1498","PIED","PIED35","1.5",NA,NA,25,"alive"
"1499","PIED","PIED35","10.0",325,64.2,25,"alive"
"1500","PIED","PIED35","10.5",NA,NA,25,"alive"
"1501","PIED","PIED35","11.0",319,57.2,50,"alive"
"1502","PIED","PIED35","11.5",NA,NA,50,"alive"
"1503","PIED","PIED35","12.0",314,64.4,50,"alive"
"1504","PIED","PIED35","12.5",NA,NA,75,"dead"
"1505","PIED","PIED35","13.0",310,58.2,75,"dead"
"1506","PIED","PIED35","13.5",NA,NA,75,"dead"
"1507","PIED","PIED35","14.0",308,70.4,75,"dead"
"1508","PIED","PIED35","14.5",NA,NA,75,"dead"
"1509","PIED","PIED35","15.0",307,59.9,90,"dead"
"1510","PIED","PIED35","15.5",NA,NA,NA,"dead"
"1511","PIED","PIED35","16.0",NA,NA,NA,"dead"
"1512","PIED","PIED35","16.5",NA,NA,NA,"dead"
"1513","PIED","PIED35","17.0",NA,NA,NA,"dead"
"1514","PIED","PIED35","17.5",NA,NA,NA,"dead"
"1515","PIED","PIED35","18.0",NA,NA,NA,"dead"
"1516","PIED","PIED35","18.5",NA,NA,NA,"dead"
"1517","PIED","PIED35","19.0",NA,NA,NA,"dead"
"1518","PIED","PIED35","19.5",NA,NA,NA,"dead"
"1519","PIED","PIED35","2.0",624,188,10,"alive"
"1520","PIED","PIED35","2.5",NA,NA,10,"alive"
"1521","PIED","PIED35","20.0",NA,NA,NA,"dead"
"1522","PIED","PIED35","20.5",NA,NA,NA,"dead"
"1523","PIED","PIED35","21.0",NA,NA,NA,"dead"
"1524","PIED","PIED35","21.5",NA,NA,NA,"dead"
"1525","PIED","PIED35","22.0",NA,NA,NA,"dead"
"1526","PIED","PIED35","22.5",NA,NA,NA,"dead"
"1527","PIED","PIED35","3.0",572,288.8,10,"alive"
"1528","PIED","PIED35","3.5",NA,NA,10,"alive"
"1529","PIED","PIED35","4.0",499,172.8,10,"alive"
"1530","PIED","PIED35","4.5",NA,NA,10,"alive"
"1531","PIED","PIED35","5.0",420,194.9,10,"alive"
"1532","PIED","PIED35","5.5",NA,NA,25,"alive"
"1533","PIED","PIED35","6.0",392,86.3,25,"alive"
"1534","PIED","PIED35","6.5",NA,NA,25,"alive"
"1535","PIED","PIED35","7.0",366,55.3,10,"alive"
"1536","PIED","PIED35","7.5",NA,NA,10,"alive"
"1537","PIED","PIED35","8.0",343,46.8,25,"alive"
"1538","PIED","PIED35","8.5",NA,NA,25,"alive"
"1539","PIED","PIED35","9.0",334,41.4,25,"alive"
"1540","PIED","PIED35","9.5",NA,NA,NA,"alive"
"1541","PIED","PIED36","1.0",736,122.1,10,"alive"
"1542","PIED","PIED36","1.5",NA,NA,10,"alive"
"1543","PIED","PIED36","10.0",508,213.5,10,"alive"
"1544","PIED","PIED36","10.5",NA,NA,10,"alive"
"1545","PIED","PIED36","11.0",489,385.4,10,"alive"
"1546","PIED","PIED36","11.5",NA,NA,10,"alive"
"1547","PIED","PIED36","12.0",439,91.1,10,"alive"
"1548","PIED","PIED36","12.5",NA,NA,10,"alive"
"1549","PIED","PIED36","13.0",457,218.8,10,"alive"
"1550","PIED","PIED36","13.5",NA,NA,10,"alive"
"1551","PIED","PIED36","14.0",421,72.8,10,"alive"
"1552","PIED","PIED36","14.5",NA,NA,10,"alive"
"1553","PIED","PIED36","15.0",461,144.3,10,"alive"
"1554","PIED","PIED36","15.5",NA,NA,10,"alive"
"1555","PIED","PIED36","16.0",422,51,10,"alive"
"1556","PIED","PIED36","16.5",NA,NA,10,"alive"
"1557","PIED","PIED36","17.0",459,159.1,10,"alive"
"1558","PIED","PIED36","17.5",NA,NA,10,"alive"
"1559","PIED","PIED36","18.0",NA,52.2,NA,"alive"
"1560","PIED","PIED36","18.5",NA,NA,10,"alive"
"1561","PIED","PIED36","19.0",488,NA,10,"alive"
"1562","PIED","PIED36","19.5",NA,NA,10,"alive"
"1563","PIED","PIED36","2.0",730,372.8,10,"alive"
"1564","PIED","PIED36","2.5",NA,NA,10,"alive"
"1565","PIED","PIED36","20.0",428,NA,10,"alive"
"1566","PIED","PIED36","20.5",NA,NA,10,"alive"
"1567","PIED","PIED36","21.0",487,334.5,10,"alive"
"1568","PIED","PIED36","21.5",NA,NA,NA,"alive"
"1569","PIED","PIED36","22.0",414,NA,NA,"alive"
"1570","PIED","PIED36","22.5",NA,NA,10,"alive"
"1571","PIED","PIED36","3.0",665,309.1,10,"alive"
"1572","PIED","PIED36","3.5",NA,NA,10,"alive"
"1573","PIED","PIED36","4.0",579,NA,10,"alive"
"1574","PIED","PIED36","4.5",NA,NA,10,"alive"
"1575","PIED","PIED36","5.0",596,285.1,10,"alive"
"1576","PIED","PIED36","5.5",NA,NA,10,"alive"
"1577","PIED","PIED36","6.0",539,153.9,10,"alive"
"1578","PIED","PIED36","6.5",NA,NA,10,"alive"
"1579","PIED","PIED36","7.0",589,255.6,10,"alive"
"1580","PIED","PIED36","7.5",NA,NA,10,"alive"
"1581","PIED","PIED36","8.0",466,193.1,10,"alive"
"1582","PIED","PIED36","8.5",NA,NA,10,"alive"
"1583","PIED","PIED36","9.0",507,243.5,10,"alive"
"1584","PIED","PIED36","9.5",NA,NA,NA,"alive"
"1585","PIED","PIED37","1.0",742,NA,10,"alive"
"1586","PIED","PIED37","1.5",NA,NA,10,"alive"
"1587","PIED","PIED37","10.0",446,NA,10,"alive"
"1588","PIED","PIED37","10.5",NA,NA,10,"alive"
"1589","PIED","PIED37","11.0",439,NA,10,"alive"
"1590","PIED","PIED37","11.5",NA,NA,25,"alive"
"1591","PIED","PIED37","12.0",434,NA,10,"alive"
"1592","PIED","PIED37","12.5",NA,NA,50,"alive"
"1593","PIED","PIED37","13.0",427,NA,50,"alive"
