Phase,Chamber,ScientificName,CommonName,Species,SpeciesID,Treatment_temp,Treatment_water,PorometerSubset,SampleSize_Weekly_Weight,BasalDia_mm,Height_mm,Whorls,Biomass_g,Week,Weight_g,Porometer,PercentBrown,Dead,Dead_Count,Heatwave_graph,Heatwave,WeightMin,WeightMax,Weight_Est,WaterWeight_Base,WaterWeight_Calc,PercentWater,SD_Weight_Total,SD_Weight_Water,Stress_to_Dead_Weight,Stress_Week_Weight,Stress_Week_Avg_Weight
1,1,Pinus edulis,Pinyon Pine,PIED,PIED19,Ambient,Drought,no,19,9.61,380,4,9.89,1,885,NA,25,alive,0,Pinyon Pine,no,478,885,885,407,407,100,69.9943606750986,25.9726576878151,15.2106028709153,2.78939712908473,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED19,Ambient,Drought,no,19,9.61,380,4,9.89,2,827,NA,10,alive,0,Pinyon Pine,no,478,885,827,407,349,85.7493857493858,71.3002054572469,32.6463416898585,15.2106028709153,2.78939712908473,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED19,Ambient,Drought,no,19,9.61,380,4,9.89,3,736,NA,10,alive,0,Pinyon Pine,no,478,885,736,407,258,63.3906633906634,75.3121379902003,48.3061024319262,15.2106028709153,2.78939712908473,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED19,Ambient,Drought,no,19,9.61,380,4,9.89,4,647,NA,25,alive,0,Pinyon Pine,no,478,885,647,407,169,41.5233415233415,87.3596451591877,66.8462930953153,15.2106028709153,2.78939712908473,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED19,Ambient,Drought,no,19,9.61,380,4,9.89,5,578,NA,25,alive,0,Pinyon Pine,no,478,885,578,407,100,24.5700245700246,91.0811924918146,70.2823461982773,15.2106028709153,2.78939712908473,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED19,Ambient,Drought,no,19,9.61,380,4,9.89,6,557,NA,25,alive,0,Pinyon Pine,no,478,885,557,407,79,19.4103194103194,86.6339006886912,63.4754637866001,15.2106028709153,2.78939712908473,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED19,Ambient,Drought,no,19,9.61,380,4,9.89,7,542,NA,10,alive,0,Pinyon Pine,no,478,885,542,407,64,15.7248157248157,80.9156300184739,52.8503901848421,15.2106028709153,2.78939712908473,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED19,Ambient,Drought,no,19,9.61,380,4,9.89,8,527,NA,25,alive,0,Pinyon Pine,no,478,885,527,407,49,12.039312039312,73.1423749788306,35.6805187070575,15.2106028709153,2.78939712908473,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED19,Ambient,Drought,no,19,9.61,380,4,9.89,9,519,NA,25,alive,0,Pinyon Pine,no,478,885,519,407,41,10.0737100737101,70.7675132788521,27.5006645321091,15.2106028709153,2.78939712908473,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED19,Ambient,Drought,no,19,9.61,380,4,9.89,10,510,NA,25,alive,0,Pinyon Pine,no,478,885,510,407,32,7.86240786240786,68.8120161545312,20.4460493903471,15.2106028709153,2.78939712908473,4.32148659959598
