ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,PercentBrown_Est
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Drought,8,40,54
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,27,Ambient_HW,Watered,0,0,13
