ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,Weight_Est,WeightMin,WeightMax,WaterWeight_Base,WaterWeight_Calc,PercentWater
Pinus flexilis,Limber Pine,PIFL,14,Ambient,Watered,0,0,653,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,14,Ambient_HW,Drought,1,5,435,348,706,358,86,23
Pinus flexilis,Limber Pine,PIFL,14,Ambient_HW,Watered,0,0,516,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,15,Ambient,Drought,0,0,498,365,759,394,133,34
Pinus flexilis,Limber Pine,PIFL,15,Ambient,Watered,0,0,696,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,15,Ambient_HW,Drought,1,5,421,348,706,358,73,20
Pinus flexilis,Limber Pine,PIFL,15,Ambient_HW,Watered,0,0,562,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,16,Ambient,Drought,0,0,NA,365,759,394,NA,NA
Pinus flexilis,Limber Pine,PIFL,16,Ambient,Watered,0,0,NA,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,16,Ambient_HW,Drought,1,5,NA,348,706,358,NA,NA
Pinus flexilis,Limber Pine,PIFL,16,Ambient_HW,Watered,0,0,NA,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,17,Ambient,Drought,0,0,470,365,759,394,105,27
Pinus flexilis,Limber Pine,PIFL,17,Ambient,Watered,0,0,715,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,17,Ambient_HW,Drought,1,5,406,348,706,358,58,16
Pinus flexilis,Limber Pine,PIFL,17,Ambient_HW,Watered,0,0,596,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,18,Ambient,Drought,0,0,452,365,759,394,87,22
Pinus flexilis,Limber Pine,PIFL,18,Ambient,Watered,0,0,677,NA,NA,NA,NA,NA
