ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,Porometer_Est,Temperature_C,LeafSensor_PercentRH,FilterSensor_PercentRH
Pinus flexilis,Limber Pine,PIFL,14,Ambient,Drought,0,0,129.27,19.23,27.68,11.5
Pinus flexilis,Limber Pine,PIFL,14,Ambient,Watered,0,0,119.033333333333,19.1,26.3333333333333,11
Pinus flexilis,Limber Pine,PIFL,14,Ambient_HW,Drought,0,0,142.87,19.47,29.61,12.34
Pinus flexilis,Limber Pine,PIFL,14,Ambient_HW,Watered,0,0,218.166666666667,19.3,35.9333333333333,14.8333333333333
Pinus flexilis,Limber Pine,PIFL,15,Ambient,Drought,0,0,145.17,19.08,NA,NA
Pinus flexilis,Limber Pine,PIFL,15,Ambient,Watered,0,0,139.433333333333,19.2666666666667,30.2,12.9
Pinus flexilis,Limber Pine,PIFL,15,Ambient_HW,Drought,0,0,156.89,18.93,32.18,13.83
Pinus flexilis,Limber Pine,PIFL,15,Ambient_HW,Watered,0,0,223.366666666667,18.5,37.6333333333333,16.1
Pinus flexilis,Limber Pine,PIFL,16,Ambient,Drought,0,0,95.55,21.45,22.87,9.35
Pinus flexilis,Limber Pine,PIFL,16,Ambient,Watered,0,0,90.5666666666667,22.1333333333333,22.5666666666667,9.3
Pinus flexilis,Limber Pine,PIFL,16,Ambient_HW,Drought,0,0,83.37,22.27,20.61,8.33
Pinus flexilis,Limber Pine,PIFL,16,Ambient_HW,Watered,0,0,134.066666666667,22.2666666666667,28.7666666666667,12.1
Pinus flexilis,Limber Pine,PIFL,19,Ambient,Drought,0,0,45.07,21.08,23.34,10.86
Pinus flexilis,Limber Pine,PIFL,19,Ambient,Watered,0,0,55.5333333333333,20.9,27.1333333333333,12.6666666666667
Pinus flexilis,Limber Pine,PIFL,19,Ambient_HW,Drought,0,0,36.14,20.88,19.85,9.19
