Species,SpeciesID,Week,Weight_g,Porometer,PercentBrown,Dead
PIFL,PIFL19,33,NA,NA,NA,dead
PIFL,PIFL19,33.5,NA,NA,NA,dead
PIFL,PIFL19,34,NA,NA,NA,dead
PIFL,PIFL19,34.5,NA,NA,NA,dead
PIFL,PIFL19,35,NA,NA,NA,dead
PIFL,PIFL19,35.5,NA,NA,NA,dead
PIFL,PIFL19,36,NA,NA,NA,dead
PIFL,PIFL19,4,687,NA,10,alive
PIFL,PIFL19,4.5,NA,NA,25,alive
PIFL,PIFL19,5,686,NA,10,alive
PIFL,PIFL19,5.5,NA,NA,10,alive
PIFL,PIFL19,6,675,NA,10,alive
PIFL,PIFL19,6.5,NA,NA,10,alive
PIFL,PIFL19,7,671,NA,10,alive
PIFL,PIFL19,7.5,NA,NA,NA,alive
PIFL,PIFL19,8,602,NA,10,alive
PIFL,PIFL19,8.5,NA,NA,10,alive
PIFL,PIFL19,9,584,NA,10,alive
PIFL,PIFL19,9.5,NA,NA,10,alive
PIFL,PIFL20,1,787,NA,10,alive
PIFL,PIFL20,1.5,NA,NA,10,alive
PIFL,PIFL20,10,644,NA,10,alive
PIFL,PIFL20,10.5,NA,NA,10,alive
PIFL,PIFL20,11,602,NA,10,alive
PIFL,PIFL20,11.5,NA,NA,10,alive
PIFL,PIFL20,12,570,NA,10,alive
PIFL,PIFL20,12.5,NA,NA,10,alive
PIFL,PIFL20,13,545,NA,10,alive
PIFL,PIFL20,13.5,NA,NA,10,alive
PIFL,PIFL20,14,518,NA,10,alive
PIFL,PIFL20,14.5,NA,NA,10,alive
PIFL,PIFL20,15,500,NA,10,alive
PIFL,PIFL20,15.5,NA,NA,10,alive
PIFL,PIFL20,16,NA,NA,NA,alive
PIFL,PIFL20,16.5,NA,NA,10,alive
PIFL,PIFL20,17,479,NA,10,alive
PIFL,PIFL20,17.5,NA,NA,10,alive
PIFL,PIFL20,18,465,NA,10,alive
PIFL,PIFL20,18.5,NA,NA,10,alive
PIFL,PIFL20,19,454,NA,10,alive
PIFL,PIFL20,19.5,NA,NA,10,alive
PIFL,PIFL20,2,781,NA,10,alive
PIFL,PIFL20,2.5,NA,NA,10,alive
PIFL,PIFL20,20,440,NA,10,alive
PIFL,PIFL20,20.5,NA,NA,10,alive
PIFL,PIFL20,21,429,NA,10,alive
